('37.86939864193726', '-122.24153373604304')
('37.86620699561539', '-122.27792808032639')
('37.83732506549593', '-122.26328379446488')
('37.85013720911602', '-122.24403884614709')
('37.88251642320452', '-122.28951278462809')
('37.873511502212644', '-122.2730855307321')
('37.859846469729014', '-122.25565564634522')
('37.85773565314714', '-122.28954981281612')
('37.844567191403115', '-122.21777019444441')
('37.89026744445402', '-122.27010747402443')
('37.87218043652647', '-122.27746114007651')
('37.836692241170695', '-122.24652565402967')
('37.87396385761976', '-122.29378541234837')
('37.83340193543028', '-122.25115761502654')
('37.84314088880857', '-122.24817820278544')
('37.871132838579385', '-122.2922528761107')
('37.858674971616225', '-122.28510774079513')
('37.88508432347704', '-122.28287425111847')
('37.87784628144697', '-122.28423040962457')
('37.85314838892995', '-122.25682179332189')
